ID,Name,Age,Gender,Email,Phone_Number,City,Department,Salary,Joining_Date,Experience_Years,Performance_Score,Manager_ID,Work_Location,Bonus_Percentage,Remote_Onsite
16271,Morgan Reyes,39,,santanaheidi@simpson.com,862.555.7437x566,delhi,Financ,104695.6,2019-05-09,12.0,1,10002.0,Chennai,18.0,Onsite
12235,Brendan Thomas,31,,anthony69@hotmail.com,001-080-715-5689x268,Chennai,Financ,146215,2017-12-17,16.0,5,10018.0,Hyderabad,29.0,onsite
10743,Jeanette Hooper,41,M,gutierrezzachary@gmail.com,1139018681,Bangalore,IT ,124286,2018-02-08,2.0,Good,10071.0,Delhi,22.0,remote
19229,Jesse Stewart,39,,kmartinez@hotmail.com,+1-108-550-5011x4112,delhi,IT ,111413,2018-04-07,14.0,Poor,10042.0,,29.0,Remote
12385,William Maxwell,19,Male,shortjay@abc.org,050.572.6766,delhi,Financ,99001,2024-10-19,11.0,,10094.0,Bangalore,16.0,onsite
19314,Rachel Shelton,56,F,carpenterian@keller.com,(584)676-7314x00733,Mmbai,Marketing,83979,2022-09-05,10.0,Excellent,10067.0,Mmbai,14.0,
17345,Antonio Anderson,41,,thomas79@gmail.com,965.752.9562x446,Delhi,,105264,2019-07-11,20.0,,10059.0,Mumbai,23.0,Onsite
13566,Colin Robinson,62,F,stanleyamy@clay.com,(028)169-3023,delhi,IT ,56741,2022-03-20,7.0,3,10016.0,Mumbai,,Remote
19203,Sarah Stevens,63,Male,eespinoza@hotmail.com,+1-184-332-7338x04224,Bangalor,HR,95380,2016-12-28,3.0,3,10084.0,,8.0,
17069,Nichole Garcia,20,Unknown,,268.737.4111x44696,Bangalor,Operations,,2017-11-21,20.0,,10020.0,Bangalore,14.0,Hybrid
15639,Lisa Raymond,51,M,vparks@rich.org,(771)110-8675x46697,Hyderabad,hr,96877,2020-11-09,20.0,1,10085.0,Mumbai,2.0,Remote
19276,Rachel Walter,38,F,mariahgarrett@herrera.org,+1-204-923-3362x831,Bangalor,Operations,52938,2025-06-05,20.0,,10089.0,Hyderabad,,
11383,Courtney Baker,33,Male,ycurry@yahoo.com,657-021-9236x634,Chennai,Financ,54420,2023-13-40,3.0,3,10065.0,Mmbai,6.0,Remote
11986,Robert Pham,53,Female,scottclayton@newton.org,001-056-326-2176,Chennai,Sales,134063,2023-13-40,8.0,,10023.0,Mmbai,9.0,Onsite
15613,Molly Manning,44,Unknown,tperry@gmail.com,001-411-146-9146x858,mumbai,hr,66739,2020-06-30,10.0,1,10067.0,Bangalor,7.0,Remote
19650,Tanya Morton,48,Male,linda23@fletcher-francis.info,+1-772-724-5074x348,Bangalore,hr,55180,2016-04-30,11.0,4,10038.0,Delhi,13.0,remote
10857,Amber Richard,26,female,hwallace@yahoo.com,491-705-4626,Mmbai,HR,68831,2019-04-28,-3.0,Excellent,10005.0,Mumbai,8.0,onsite
15925,Kimberly Young,39,M,grayalexandra@martinez.com,6401455005,mumbai,HR,83959,2016-10-17,19.0,5,10022.0,Chennai,7.0,Remote
18642,Morgan Wallace,43,,evelez@yahoo.com,040.160.5574x994,Mmbai,IT,144604,2020-04-21,15.0,2,10032.0,Mmbai,27.0,Hybrid
18188,Robert Chapman,26,M,lmccoy@yahoo.com,+1-231-693-7813x310,,sales,139039,"Jun 14, 2021",5.0,Good,10015.0,Mmbai,12.0,Remote
14490,Kelli Rice,26,male,mitchellcheryl@mcknight.net,+1-111-921-9455x028,Chennai,hr,85039,2018-06-30,13.0,2,10081.0,,22.0,Onsite
10360,Caitlyn Rodriguez,47,F,williamsonmatthew@perez-bell.com,588-210-4216x78077,mumbai,Financ,96165,2019-07-19,14.0,2,10020.0,Bangalore,26.0,Remote
10690,Christopher Cohen,28,Female,franciscross@morton-copeland.org,968.981.8357x913,Bangalore,HR,78100,2024-01-17,11.0,,10043.0,Bangalor,0.0,Remote
13676,Christian Sparks,40,Unknown,qreyes@hotmail.com,321-179-8812,mumbai,Finance,34166,2021-08-09,30.0,Poor,10004.0,Mumbai,17.0,Onsite
